Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Capacidad Efectiva Neta
2006-01-01;MANANTIALES;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3150
2006-01-01;MERILECTRICA 1;MRLG;TERMICA;GAS;DESPACHADO CENTRALMENTE;169000
2006-01-01;MIEL I;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;396000
2006-01-01;MIROLINDO;ETSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;2400
2006-01-01;MONDOMO;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;750
2006-01-01;MUNICIPAL;CHCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1400
2006-01-01;NIMA;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;6700
2006-01-01;NIQUIA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19000
2006-01-01;NUEVO LIBARE;EEPG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;5100
2006-01-01;NUTIBARA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;750
2006-01-01;OVEJAS;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;820
2006-01-01;PAGUA;EMGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;600000
2006-01-01;PAIPA 1;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;28000
2006-01-01;PAIPA 2;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;68000
2006-01-01;PAIPA 3;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;68000
2006-01-01;PAIPA 4;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;150000
2006-01-01;PAJARITO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;4900
2006-01-01;PALENQUE 3;ESSG;TERMICA;GAS;DESPACHADO CENTRALMENTE;14000
2006-01-01;PALMAS SAN GIL;ESSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;15000
2006-01-01;PASTALES;ETSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;700
2006-01-01;PATICO - LA CABRERA;GENG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1480
2006-01-01;PIEDRAS BLANCAS;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;5000
2006-01-01;PLAYAS;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;201000
2006-01-01;PORCE II;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;405000
2006-01-01;PRADO;ETSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;45000
2006-01-01;PRADO IV;ETSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;5000
2006-01-01;PROELECTRICA 1;PRIG;TERMICA;GAS;DESPACHADO CENTRALMENTE;45000
2006-01-01;PROELECTRICA 2;PRIG;TERMICA;GAS;DESPACHADO CENTRALMENTE;45000
2006-01-01;PROENCA 1;PECG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;4000
2006-01-01;PROVIDENCIA (ANTIOQUIA);EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;3000
2006-01-01;PUENTE GUILLERMO;NRCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1000
2006-01-01;RIO ABAJO;EADG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;900
2006-01-01;RIO BOBO;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;4000
2006-01-01;RIO CALI;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1800
2006-01-01;RIO FRIO I;CETG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1690
2006-01-01;RIO FRIO II;CETG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;10000
2006-01-01;RIO GRANDE;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;500
2006-01-01;RIO INGENIO;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;180
2006-01-01;RIO MAYO;CDNG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;21000
2006-01-01;RIO PALO;CDIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;1440
2006-01-01;RIO PIEDRAS;GNIG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;19900
