Fecha;Recurso;Código Agente;Tipo de Generación;Combustible por defecto;Tipo de Despacho;Es Menor;Es Autogenerador;;Capacidad Efectiva Neta kW
2016-01-01;GUAJIRA 2;GECG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;NO;NO;;151000
2016-01-01;GUANAQUITAS;LCSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;9500
2016-01-01;GUATAPE;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;560000
2016-01-01;GUATRON;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;512000
2016-01-01;GUAVIO;ENDG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;1200000
2016-01-01;HIDROMONTAÑITAS;CIVG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19900
2016-01-01;INCAUCA 1;GNCG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;NO;NO;;10000
2016-01-01;INGENIO PROVIDENCIA 2;GNCG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;NO;NO;;19900
2016-01-01;INGENIO RISARALDA 1;EEPG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;NO;NO;;5500
2016-01-01;INGENIO SAN CARLOS 1;DLRG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;NO;NO;;2000
2016-01-01;INSULA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19000
2016-01-01;INTERMEDIA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;960
2016-01-01;INZA;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;750
2016-01-01;IQUIRA I;HLAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;4320
2016-01-01;IQUIRA II;HLAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;5400
2016-01-01;JAGUAS;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;170000
2016-01-01;JEPIRACHI 1 - 15;EPMG;EOLICA;VIENTO;NO DESPACHADO CENTRALMENTE;SI;NO;;18420
2016-01-01;JULIO BRAVO;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1500
2016-01-01;LA CASCADA ( ABEJORRAL);NRCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;3000
2016-01-01;LA CASCADA (ANTIOQUIA);LCSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;2300
2016-01-01;LA HERRADURA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19800
2016-01-01;LA NAVETA;IACG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;4800
2016-01-01;LA PITA;HLAG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1420
2016-01-01;LA REBUSCA;HZEG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;700
2016-01-01;LA TASAJERA;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;306000
2016-01-01;LA VUELTA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;11600
2016-01-01;LAGUNETA;ENDG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;18000
2016-01-01;MANANTIALES;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;3150
2016-01-01;MAYAGUEZ 1;EPSG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;NO;NO;;19900
2016-01-01;MERILECTRICA 1;CIVG;TERMICA;GAS;DESPACHADO CENTRALMENTE;NO;NO;;167000
2016-01-01;MIEL I;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;396000
2016-01-01;MIROLINDO;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;3750
2016-01-01;MONDOMO;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;750
2016-01-01;MUNICIPAL;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1400
2016-01-01;NIMA;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;6700
2016-01-01;NIQUIA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19000
2016-01-01;NUEVO LIBARE;EEPG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;5100
2016-01-01;NUTIBARA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;750
2016-01-01;OVEJAS;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;820
2016-01-01;PAGUA;ENDG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;600000
2016-01-01;PAIPA 1;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;NO;NO;;31000
2016-01-01;PAIPA 2;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;NO;NO;;72000
2016-01-01;PAIPA 3;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;NO;NO;;70000
2016-01-01;PAIPA 4;HIMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;NO;NO;;154000
2016-01-01;PAJARITO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;4900
2016-01-01;PALMAS SAN GIL;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;15000
2016-01-01;PASTALES;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;700
2016-01-01;PATICO - LA CABRERA;GENG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1480
2016-01-01;PIEDRAS BLANCAS;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;5000
2016-01-01;PLAYAS;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;207000
2016-01-01;PORCE II;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;405000
2016-01-01;PORCE III;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;700000
2016-01-01;PRADO;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;46000
2016-01-01;PRADO IV;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;5000
2016-01-01;PROELECTRICA 1;PRIG;TERMICA;GAS;DESPACHADO CENTRALMENTE;NO;NO;;45000
2016-01-01;PROELECTRICA 2;PRIG;TERMICA;GAS;DESPACHADO CENTRALMENTE;NO;NO;;45000
2016-01-01;PROENCA;PECG;COGENERADOR;BAGAZO;NO DESPACHADO CENTRALMENTE;NO;NO;;19900
2016-01-01;PROVIDENCIA;HZEG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;4900
2016-01-01;PUENTE GUILLERMO;NRCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1000
2016-01-01;PURIFICACION;SREG;TERMICA;GAS;NO DESPACHADO CENTRALMENTE;SI;NO;;8000
2016-01-01;REMEDIOS;GEEG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;750
2016-01-01;RIO ABAJO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;900
2016-01-01;RIO BOBO;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;4000
2016-01-01;RIO CALI;EPSG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1800
2016-01-01;RIO FRIO I;CETG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1690
2016-01-01;RIO FRIO II;CETG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;10000
2016-01-01;RIO GRANDE;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;300
2016-01-01;RIO INGENIO;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;180
2016-01-01;RIO MAYO;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19800
2016-01-01;RIO PALO;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1440
2016-01-01;RIO PIEDRAS;CIVG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19900
2016-01-01;RIO RECIO;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;300
2016-01-01;RIO SAPUYES;CDNG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1650
2016-01-01;RIOFRIO (TAMESIS);EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1200
2016-01-01;RIOGRANDE I;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19000
2016-01-01;RIONEGRO;EECG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;9600
2016-01-01;RUMOR;CETG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;2500
2016-01-01;SAJANDI;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;3200
2016-01-01;SALTO II;ENDG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;35000
2016-01-01;SALVAJINA;EPSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;285000
2016-01-01;SAN CANCIO;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;2000
2016-01-01;SAN CARLOS;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;1240000
2016-01-01;SAN FRANCISCO;EPMG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;135000
2016-01-01;SAN FRANCISCO (PUTUMAYO);GPYG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;468
2016-01-01;SAN JOSE;GCEG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;380
2016-01-01;SAN JOSE DE LA MONTAÑA;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;400
2016-01-01;SAN MIGUEL;LCSG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;44000
2016-01-01;SANTA ANA;ENDG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;8000
2016-01-01;SANTA RITA;NRCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;1300
2016-01-01;SANTIAGO;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;2800
2016-01-01;SILVIA;GNCG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;380
2016-01-01;SOGAMOSO;ISGG;HIDRAULICA;AGUA;DESPACHADO CENTRALMENTE;NO;NO;;820000
2016-01-01;SONSON;EPMG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;18500
2016-01-01;SUBA;ENDG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;2550
2016-01-01;SUEVA 2;CMXG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;6000
2016-01-01;TASAJERO 1;TRMG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;NO;NO;;163000
2016-01-01;TASAJERO 2;TERG;TERMICA;CARBON;DESPACHADO CENTRALMENTE;NO;NO;;160000
2016-01-01;TEBSAB;GECG;TERMICA;GAS;DESPACHADO CENTRALMENTE;NO;NO;;791000
2016-01-01;TEQUENDAMA;ENDG;HIDRAULICA;AGUA;NO DESPACHADO CENTRALMENTE;SI;NO;;19400
2016-01-01;TERMOCANDELARIA 1;TCIG;TERMICA;ACPM;DESPACHADO CENTRALMENTE;NO;NO;;157000
2016-01-01;TERMOCANDELARIA 2;TCIG;TERMICA;ACPM;DESPACHADO CENTRALMENTE;NO;NO;;158000
2016-01-01;TERMOCENTRO CC;ISGG;TERMICA;MEZCLA GAS - JET-A1;DESPACHADO CENTRALMENTE;NO;NO;;264000
2016-01-01;TERMODORADA 1;EPMG;TERMICA;JET-A1;DESPACHADO CENTRALMENTE;NO;NO;;46000
2016-01-01;TERMOEMCALI 1;TEMG;TERMICA;ACPM;DESPACHADO CENTRALMENTE;NO;NO;;213000
2016-01-01;TERMOPIEDRAS;TRPG;TERMICA;GAS;NO DESPACHADO CENTRALMENTE;SI;NO;;3750
2016-01-01;TERMOSIERRAB;EPMG;TERMICA;ACPM;DESPACHADO CENTRALMENTE;NO;NO;;364000
2016-01-01;TERMOVALLE 1;TMVG;TERMICA;ACPM;DESPACHADO CENTRALMENTE;NO;NO;;197000
